tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,plot
tt2345737,movie,The Rover,The Rover,2014,103.0,"Action,Crime,Drama",6.4,52927.0,"{'en-US': ""10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.""}"
tt2345759,movie,The Mummy,The Mummy,2017,110.0,"Action,Adventure,Fantasy",5.4,213909.0,"{'en-US': 'An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia and terrors that defy human comprehension.'}"
tt23468450,movie,Longlegs,Longlegs,2024,101.0,"Crime,Horror,Thriller",6.6,184507.0,"{'en-US': 'In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.'}"
tt2347497,movie,Silent Night,Silent Night,2012,94.0,"Comedy,Horror,Mystery",5.2,10014.0,{'en-US': 'The police force of a remote Midwestern town search for a killer Santa Claus who is picking off citizens on Christmas Eve.'}
tt23475174,movie,Sarfira,Sarfira,2024,155.0,Drama,6.9,10659.0,"{'en-US': ""A man fights to make his dream of creating a low cost airline a reality, facing opposition from devious competitive airline owners who threaten his business and his passengers' safety.""}"
tt2347569,movie,Frances Ha,Frances Ha,2012,86.0,"Comedy,Drama,Romance",7.4,98320.0,"{'en-US': 'A New York woman apprentices for a dance company and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.'}"
tt23476986,movie,G20,G20,2025,108.0,"Action,Thriller",5.1,12794.0,"{'en-US': 'Terrorists take over the G20 summit with President Sutton, bringing her governing and military experience to defend her family, company, and the world.'}"
tt2349144,movie,Mississippi Grind,Mississippi Grind,2015,108.0,"Comedy,Drama",6.4,26933.0,"{'en-US': ""Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.""}"
tt2350496,movie,The Lunchbox,The Lunchbox,2013,104.0,"Drama,Romance",7.8,63535.0,"{'en-US': ""A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.""}"
tt2350892,movie,Bad Country,Bad Country,2014,95.0,"Action,Crime,Drama",5.8,10121.0,"{'en-US': ""In 1980s Louisiana, a police detective arrests a contract killer. To be with his wife and newborn, he becomes an informant and assists in helping to bring down the South's most powerful criminal organization.""}"
