tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0107004,movie,Geronimo: An American Legend,Geronimo: An American Legend,1993,115,"Drama,History,Western",6.6,14284.0
tt0107007,movie,Gettysburg,Gettysburg,1993,254,"Drama,History,War",7.6,32336.0
tt0107034,movie,The Good Son,The Good Son,1993,87,"Drama,Thriller",6.4,47351.0
tt0107048,movie,Groundhog Day,Groundhog Day,1993,101,"Comedy,Drama,Fantasy",8.0,714695.0
tt0107050,movie,Grumpy Old Men,Grumpy Old Men,1993,103,"Comedy,Drama,Romance",7.0,55705.0
tt0107076,movie,Hard Target,Hard Target,1993,97,"Action,Crime,Thriller",6.2,59027.0
tt0107091,movie,Heart and Souls,Heart and Souls,1993,104,"Comedy,Drama,Fantasy",7.0,19535.0
tt0107096,movie,Heaven & Earth,Heaven & Earth,1993,140,"Action,Biography,Drama",6.8,15514.0
tt0107120,movie,Hocus Pocus,Hocus Pocus,1993,96,"Comedy,Family,Fantasy",6.9,164173.0
tt0107131,movie,Homeward Bound: The Incredible Journey,Homeward Bound: The Incredible Journey,1993,84,"Adventure,Comedy,Drama",7.0,53249.0
tt0107144,movie,Hot Shots! Part Deux,Hot Shots! Part Deux,1993,86,"Action,Comedy",6.6,100438.0
tt0107151,movie,The House of the Spirits,The House of the Spirits,1993,145,"Drama,Romance",6.9,25707.0
tt0107156,movie,The Wedding Banquet,Xi yan,1993,106,"Comedy,Drama,Romance",7.6,17872.0
tt0107206,movie,In the Line of Fire,In the Line of Fire,1993,128,"Action,Crime,Drama",7.2,118168.0
tt0107207,movie,In the Name of the Father,In the Name of the Father,1993,133,"Biography,Crime,Drama",8.1,195327.0
tt0107211,movie,Indecent Proposal,Indecent Proposal,1993,117,"Drama,Romance",6.0,82171.0
tt0107254,movie,Jason Goes to Hell: The Final Friday,Jason Goes to Hell: The Final Friday,1993,87,"Fantasy,Horror,Thriller",4.1,38757.0
tt0107282,movie,The Joy Luck Club,The Joy Luck Club,1993,139,Drama,7.7,18954.0
tt0107286,movie,Judgment Night,Judgment Night,1993,110,"Action,Crime,Drama",6.6,19861.0
tt0107290,movie,Jurassic Park,Jurassic Park,1993,127,"Action,Adventure,Sci-Fi",8.2,1115205.0
tt0107302,movie,Kalifornia,Kalifornia,1993,117,"Crime,Drama,Thriller",6.7,60325.0
tt0107315,movie,Kika,Kika,1993,114,Comedy,6.5,15584.0
tt0107362,movie,Last Action Hero,Last Action Hero,1993,130,"Action,Adventure,Comedy",6.5,168989.0
tt0107387,movie,Leprechaun,Leprechaun,1993,92,"Comedy,Fantasy,Horror",4.8,32088.0
tt0107426,movie,Little Buddha,Little Buddha,1993,123,Drama,6.1,18552.0
tt0107438,movie,Look Who's Talking Now,Look Who's Talking Now,1993,96,"Comedy,Family,Romance",4.4,31706.0
tt0107468,movie,M. Butterfly,M. Butterfly,1993,101,"Drama,Romance",6.7,11324.0
tt0107473,movie,Mad Dog and Glory,Mad Dog and Glory,1993,97,"Comedy,Crime,Drama",6.2,23376.0
tt0107478,movie,Made in America,Made in America,1993,111,Comedy,5.1,18268.0
tt0107497,movie,Malice,Malice,1993,107,"Crime,Mystery,Thriller",6.5,29312.0
tt0107501,movie,The Man Without a Face,The Man Without a Face,1993,115,Drama,6.7,32052.0
tt0107507,movie,Manhattan Murder Mystery,Manhattan Murder Mystery,1993,104,"Comedy,Mystery",7.3,48041.0
tt0107529,movie,Matinee,Matinee,1993,99,"Comedy,Drama",6.9,13005.0
tt0107554,movie,Menace II Society,Menace II Society,1993,97,"Crime,Drama,Thriller",7.5,67071.0
tt0107612,movie,Mr. Nanny,Mr. Nanny,1993,84,"Action,Comedy,Family",3.8,10482.0
tt0107614,movie,Mrs. Doubtfire,Mrs. Doubtfire,1993,125,"Comedy,Drama",7.1,303687.0
tt0107616,movie,Much Ado About Nothing,Much Ado About Nothing,1993,111,"Comedy,Drama,Romance",7.3,53926.0
tt0107617,movie,The Scent of Green Papaya,Mùi du du xanh,1993,104,"Drama,Music,Romance",7.3,10572.0
tt0107630,movie,My Life,My Life,1993,117,Drama,6.8,12567.0
tt0107653,movie,Naked,Naked,1993,131,"Comedy,Drama",7.7,46346.0
tt0107659,movie,Loaded Weapon 1,National Lampoon's: Loaded Weapon 1,1993,84,"Action,Comedy,Crime",6.2,52488.0
tt0107665,movie,Needful Things,Needful Things,1993,121,"Crime,Drama,Fantasy",6.3,28908.0
tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,1993,76,"Animation,Family,Fantasy",7.9,394532.0
tt0107692,movie,Ninja Scroll,Jûbê ninpûchô,1993,94,"Action,Adventure,Animation",7.8,42770.0
tt0107711,movie,Nowhere to Run,Nowhere to Run,1993,94,"Action,Drama,Romance",5.7,27070.0
tt0107756,movie,Orlando,Orlando,1992,94,"Biography,Drama,Fantasy",7.1,19765.0
tt0107798,movie,The Pelican Brief,The Pelican Brief,1993,141,"Crime,Drama,Mystery",6.6,100041.0
tt0107808,movie,A Perfect World,A Perfect World,1993,138,"Crime,Drama,Thriller",7.5,90454.0
tt0107818,movie,Philadelphia,Philadelphia,1993,125,Drama,7.7,266327.0
tt0107822,movie,The Piano,The Piano,1993,121,"Drama,Music,Romance",7.5,98190.0
tt0107840,movie,Poetic Justice,Poetic Justice,1993,109,"Drama,Romance",6.1,17366.0
tt0107843,movie,Point of No Return,Point of No Return,1993,109,"Action,Crime,Drama",6.1,31056.0
tt0107889,movie,The Program,The Program,1993,112,"Action,Drama,Romance",6.5,11936.0
